full_name,month,commits
josephmisiti/awesome-machine-learning,2025-11,10
josephmisiti/awesome-machine-learning,2025-12,6
josephmisiti/awesome-machine-learning,2026-01,30
josephmisiti/awesome-machine-learning,2026-02,7
josephmisiti/awesome-machine-learning,2026-03,11
pallets/flask,2025-10,1
pallets/flask,2025-11,8
pallets/flask,2025-12,0
pallets/flask,2026-01,23
pallets/flask,2026-02,17
pallets/flask,2026-03,8
OpenHands/OpenHands,2025-10,185
OpenHands/OpenHands,2025-11,138
OpenHands/OpenHands,2025-12,186
OpenHands/OpenHands,2026-01,186
OpenHands/OpenHands,2026-02,148
OpenHands/OpenHands,2026-03,276
binary-husky/gpt_academic,2025-10,0
binary-husky/gpt_academic,2025-11,0
binary-husky/gpt_academic,2025-12,0
binary-husky/gpt_academic,2026-01,3
binary-husky/gpt_academic,2026-02,0
binary-husky/gpt_academic,2026-03,0
hiyouga/LlamaFactory,2025-10,35
hiyouga/LlamaFactory,2025-11,30
hiyouga/LlamaFactory,2025-12,52
hiyouga/LlamaFactory,2026-01,37
hiyouga/LlamaFactory,2026-02,25
hiyouga/LlamaFactory,2026-03,29
ansible/ansible,2025-10,55
ansible/ansible,2025-11,39
ansible/ansible,2025-12,17
ansible/ansible,2026-01,35
ansible/ansible,2026-02,34
ansible/ansible,2026-03,41
FoundationAgents/MetaGPT,2025-10,1
FoundationAgents/MetaGPT,2025-11,1
FoundationAgents/MetaGPT,2025-12,0
FoundationAgents/MetaGPT,2026-01,1
FoundationAgents/MetaGPT,2026-02,0
FoundationAgents/MetaGPT,2026-03,0
labmlai/annotated_deep_learning_paper_implementations,2025-10,0
labmlai/annotated_deep_learning_paper_implementations,2025-11,1
labmlai/annotated_deep_learning_paper_implementations,2025-12,0
labmlai/annotated_deep_learning_paper_implementations,2026-01,1
labmlai/annotated_deep_learning_paper_implementations,2026-02,0
labmlai/annotated_deep_learning_paper_implementations,2026-03,0
xtekky/gpt4free,2025-10,63
xtekky/gpt4free,2025-11,70
xtekky/gpt4free,2025-12,42
xtekky/gpt4free,2026-01,60
xtekky/gpt4free,2026-02,64
xtekky/gpt4free,2026-03,40
scikit-learn/scikit-learn,2025-10,198
scikit-learn/scikit-learn,2025-11,99
scikit-learn/scikit-learn,2025-12,69
scikit-learn/scikit-learn,2026-01,85
scikit-learn/scikit-learn,2026-02,75
scikit-learn/scikit-learn,2026-03,72
OpenBB-finance/OpenBB,2025-10,20
OpenBB-finance/OpenBB,2025-11,9
OpenBB-finance/OpenBB,2025-12,12
OpenBB-finance/OpenBB,2026-01,14
OpenBB-finance/OpenBB,2026-02,19
OpenBB-finance/OpenBB,2026-03,23
keras-team/keras,2025-10,57
keras-team/keras,2025-11,29
keras-team/keras,2025-12,54
keras-team/keras,2026-01,72
keras-team/keras,2026-02,114
keras-team/keras,2026-03,170
karpathy/autoresearch,2025-10,0
karpathy/autoresearch,2025-11,0
karpathy/autoresearch,2025-12,0
karpathy/autoresearch,2026-01,0
karpathy/autoresearch,2026-02,0
karpathy/autoresearch,2026-03,36
pathwaycom/pathway,2025-10,42
pathwaycom/pathway,2025-11,48
pathwaycom/pathway,2025-12,45
pathwaycom/pathway,2026-01,60
pathwaycom/pathway,2026-02,56
pathwaycom/pathway,2026-03,51
