full_name,primary_language,ai_maturity_level,scan_success,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,software_quality_maintainability_remediation_effort
ml-explore/mlx,C++,1,true,28936,28,0,1103,5.9,12.9,3150,5650
ssloy/tinyrenderer,C++,1,true,4,0,0,2,0.0,20.0,,10
fmtlib/fmt,C++,1,true,1114,1,0,25,0.0,13.4,439,241
redis/RedisDesktopManager,C++,1,true,808,0,0,43,0.0,2.8,173,199
scottbez1/smartknob,C++,1,true,2493,0,0,21,3.0,6.3,226,90
osquery/osquery,C++,2,true,8373,32,0,158,0.5,8.9,1181,1001
MaaAssistantArknights/MaaAssistantArknights,C++,3,true,6499,5,0,149,0.6,14.0,1336,830
google/filament,C++,1,true,631087,2212,7,19845,14.9,12.3,66089,131268
trojan-gfw/trojan,C++,1,true,47,0,2,2,0.0,23.0,6,10
lettier/3d-game-shaders-for-beginners,C++,1,true,7080,0,0,2478,32.3,1.4,,12146
Tencent/ncnn,C++,1,true,39222,2,0,326,34.3,11.4,6438,1813
pqrs-org/Karabiner-Elements,C++,1,true,6130,15,0,308,0.8,18.9,2334,3974
catchorg/Catch2,C++,1,true,1800,1,0,111,0.0,20.4,335,611
TranslucentTB/TranslucentTB,C++,1,true,94,0,0,0,0.0,2.1,,0
k4yt3x/video2x,C++,1,true,113,0,0,2,0.0,10.3,8,10
cocos2d/cocos2d-x,C++,1,true,10745,19,0,894,0.4,10.0,2052,4672
swoole/swoole-src,C++,1,true,19078,122,13,3206,4.9,8.3,2486,17043
qinguoyi/TinyWebServer,C++,1,true,175,18,0,36,0.0,1.1,,170
rizinorg/cutter,C++,1,true,1730,1,0,14,7.2,8.6,69,66
alibaba/weex,C++,1,true,150567,756,2,9700,17.5,10.5,23705,76456
Atmosphere-NX/Atmosphere,C++,1,true,1817,8,0,76,0.3,31.0,579,591
facebook/hhvm,C++,1,true,1224349,2839,16,248084,25.0,8.4,183404,678366
kyleneideck/BackgroundMusic,C++,1,true,106,1,0,4,0.0,35.0,12,5
uNetworking/uWebSockets,C++,1,true,74,0,1,10,0.0,16.9,14,46
facebook/yoga,C++,1,true,78942,5,0,2758,66.6,0.4,926,7985
mpv-player/mpv,C,1,true,2034,0,0,104,0.0,13.8,597,568
php/php-src,C,1,true,47208,438,7,10111,3.9,21.6,9966,59215
pbatard/rufus,C,1,true,165,0,0,0,0.0,8.3,4,0
jqlang/jq,C,1,true,504,3,0,17,0.0,4.0,127,113
valinet/ExplorerPatcher,C,1,true,9,0,0,0,0.0,0.0,,0
wg/wrk,C,1,true,,0,0,0,,,,0
raysan5/raylib,C,1,true,7328,1,0,2,0.5,1.3,,6
coolsnowwolf/lede,C,1,true,1779,1,2,272,0.5,13.8,358,518
nothings/stb,C,1,true,,0,0,0,,,,0
kingToolbox/WindTerm,C,1,true,3935,17,0,38,0.5,7.7,200,238
cfenollosa/os-tutorial,C,1,true,,0,0,0,,,,0
openssl/openssl,C,1,true,695,0,205,59,0.3,44.1,287,276
nginx/nginx,C,1,true,27335,2,0,1,0.0,0.0,,5
bilibili/ijkplayer,C,1,true,9836,1,0,408,4.3,5.7,976,2387
lizongying/my-tv,C,1,true,33956,77,5,1295,27.2,9.6,3985,8001
asmvik/yabai,C,1,true,7,0,0,0,0.0,12.5,1,0
ggreer/the_silver_searcher,C,1,true,18,0,0,0,0.0,14.3,6,0
libuv/libuv,C,1,true,207,1,0,9,0.0,47.6,12,49
facebook/zstd,C,1,true,5112,3,0,121,0.0,7.5,921,754
pjreddie/darknet,C,1,true,275,0,0,16,0.0,6.1,43,76
ValdikSS/GoodbyeDPI,C,1,true,,0,0,0,,,,0
robertdavidgraham/masscan,C,1,true,267,2,0,61,0.0,1.1,74,378
hashcat/hashcat,C,1,true,4385,232,3,92,1.8,10.1,634,494
openwrt/openwrt,C,1,true,2231,1,2,275,0.4,14.4,439,534
valkey-io/valkey,C,2,true,10928,9,0,463,0.0,5.0,918,2427
arendst/Tasmota,C,1,true,44049,39,0,695,2.6,29.4,9186,6032
radareorg/radare2,C,2,true,7034,56,0,295,0.0,5.4,925,1782
taosdata/TDengine,C,1,true,598515,424,7,71867,38.9,14.1,68837,199601
lvgl/lvgl,C,1,true,19991,136,0,531,0.6,17.0,3955,4037
timescale/timescaledb,C,1,true,1314,0,0,5,0.0,17.1,258,62
xiaojieonly/Ehviewer_CN_SXJ,C,1,true,157308,2896,3,7565,5.9,8.9,15247,46415
iovisor/bcc,C,1,true,44805,4,0,500,3.6,10.3,7028,4375
TheAlgorithms/C,C,1,true,120,0,0,0,0.0,5.5,19,0
SamyPesse/How-to-Make-a-Computer-Operating-System,C,1,true,,0,0,0,,,,0
gentilkiwi/mimikatz,C,1,true,,0,0,0,,,,0
micropython/micropython,C,1,true,72920,534,2,1997,5.1,14.3,13170,13758
HandBrake/HandBrake,C,1,true,4207,21,0,274,1.6,9.2,1088,2068
fastfetch-cli/fastfetch,C,1,true,324,0,0,6,0.0,21.2,67,45
jarun/nnn,C,1,true,11,0,0,0,0.0,21.4,0,0
julycoding/The-Art-Of-Programming-By-July-2nd,C,1,true,2716,9,0,238,0.0,17.0,686,1455
DarkFlippers/unleashed-firmware,C,1,true,12410,24,2,407,0.8,8.3,2043,2869
Awesome-HarmonyOS/HarmonyOS,C,1,true,35405,19,2,45,0.0,3.1,71,240
jart/cosmopolitan,C,1,true,529863,2482,68,16005,3.9,21.2,80187,86158
qmk/qmk_firmware,C,2,true,12469,5,0,320,0.0,16.5,4245,2489
pgvector/pgvector,C,1,true,19,0,0,2,0.0,5.0,,10
ExistentialAudio/BlackHole,C,1,true,56,4,0,0,0.0,0.0,,0
ish-app/ish,C,1,true,190,0,0,4,0.0,8.7,24,15
allinurl/goaccess,C,1,true,3229,0,0,167,19.6,6.6,210,1106
sandboxie-plus/Sandboxie,C,1,true,1903,55,0,397,0.0,8.9,141,1887
postgres/postgres,C,1,true,2663,0,1,29,0.0,21.4,166,127
videolan/vlc,C,1,true,6311,26,0,341,2.4,12.7,640,2688
karpathy/llama2.c,C,1,true,1274,3,0,9,0.0,25.6,248,39
espressif/esp-idf,C,1,true,72286,7,13,1040,5.3,15.1,12422,11584
ffmpegwasm/ffmpeg.wasm,C,1,true,4151,22,0,55,5.0,8.2,131,224
nicbarker/clay,C,1,true,2643,14,0,38,89.4,0.0,,705
swaywm/sway,C,1,true,447,0,0,0,0.0,0.7,,0
sumatrapdfreader/sumatrapdf,C,1,true,162275,1230,0,9289,3.9,7.9,13387,53292
tursodatabase/libsql,C,1,true,30051,68,0,1766,13.5,26.3,5629,11104
systemd/systemd,C,2,true,160698,7,1,599,0.2,2.7,2962,7697
shadowsocks/shadowsocks-libev,C,2,true,562,0,0,13,0.0,13.3,154,87
brunodev85/winlator,C,1,true,24678,62,1,746,0.9,0.3,3974,5805
woltapp/blurhash,C,1,true,2142,5,0,19,0.0,6.6,88,98
NVIDIA/open-gpu-kernel-modules,C,1,true,622,0,0,16,5.4,25.5,85,81
skywind3000/kcp,C,1,true,,0,0,0,,,,0
ImageMagick/ImageMagick,C,1,true,209949,10601,0,81956,23.0,2.4,10,402085
davatorium/rofi,C,1,true,570,0,0,0,0.0,0.9,,0
flipperdevices/flipperzero-firmware,C,1,true,12188,24,2,407,0.8,8.4,2002,2872
libsdl-org/SDL,C,1,true,18780,11,0,468,0.3,5.6,2085,3253
bol-van/zapret,C,1,true,,0,0,0,,,,0
SpacehuhnTech/esp8266_deauther,C,1,true,3201,14,0,107,2.9,8.0,491,724
zephyrproject-rtos/zephyr,C,1,true,123946,72,13,1590,6.6,17.1,23842,14663
peng-zhihui/Dummy-Robot,C,1,true,8213,19,0,178,55.9,6.6,418,989
haiwen/seafile,C,1,true,5817,0,0,198,42.6,13.3,957,1084
gojue/ecapture,C,2,true,18476,2,0,235,9.5,19.1,2928,1519
glfw/glfw,C,1,true,5221,0,0,3,0.0,1.2,,3
memcached/memcached,C,1,true,1650,0,4,31,0.0,0.1,,149
acidanthera/OpenCorePkg,C,1,true,2374,0,0,34,0.0,12.4,599,197
cloudwu/skynet,C,1,true,1652,6,0,92,0.0,0.6,,460
arut/nginx-rtmp-module,C,1,true,417,2,0,0,0.0,0.2,,0
coturn/coturn,C,2,true,248,1,4,12,0.0,17.9,,60
Curzibn/Luban,C,1,true,2680,0,0,31,0.0,12.5,277,234
OpenVPN/openvpn,C,1,true,364,0,0,13,0.0,28.9,65,68
alibaba/tengine,C,1,true,131,6,0,8,0.0,5.1,45,50
winsiderss/systeminformer,C,1,true,5055,0,0,0,0.0,0.1,,0
s-matyukevich/raspberry-pi-os,C,1,true,54,3,0,5,0.0,0.0,,25
DoctorWkt/acwj,C,1,true,0,0,0,2,0.0,,0,4
moby/moby,Go,1,true,283504,1,5,3492,5.5,10.8,49622,33545
openresty/openresty,C,1,true,2640,13,0,292,5.0,8.3,268,1451
caddyserver/caddy,Go,1,true,65136,1,1,728,3.9,19.1,16417,11471
nektos/act,Go,2,true,24706,0,0,348,7.8,4.7,4466,3917
jedisct1/libsodium,C,2,true,477,0,0,4,0.0,0.4,18,48
usememos/memos,Go,2,true,75722,24,0,1050,9.3,13.1,8838,7798
prometheus/prometheus,Go,2,true,316107,18,3,3262,18.2,9.2,44885,39920
pocketbase/pocketbase,Go,1,true,111006,15,0,875,10.5,8.1,16067,11014
rclone/rclone,Go,1,true,315571,30,1,3140,5.9,10.6,40246,27723
wagoodman/dive,Go,1,true,9161,0,0,91,6.3,6.5,1439,859
base/node,Go,1,true,772,0,0,50,8.9,9.3,153,428
traefik/traefik,Go,1,true,275999,2,33,2380,19.3,4.8,16842,28999
FiloSottile/mkcert,Go,1,true,1151,0,0,11,0.0,6.7,245,85
etcd-io/etcd,Go,1,true,190888,0,12,2619,9.0,10.8,38367,29749
ethereum/go-ethereum,Go,2,true,298423,11,0,3762,4.1,19.1,54973,34345
jesseduffield/lazydocker,Go,2,true,10075,0,0,28,8.3,6.9,1235,169
go-gitea/gitea,Go,2,true,392109,58,8,4147,4.6,10.8,66330,42459
AlistGo/alist,Go,1,true,92864,0,0,704,5.3,6.6,17582,7266
mudler/LocalAI,Go,2,true,177892,454,3,2827,3.6,7.9,28505,26400
coreybutler/nvm-windows,Go,1,true,4192,0,0,56,0.8,9.1,1479,1054
astaxie/build-web-application-with-golang,Go,1,true,12526,0,0,290,86.7,12.3,1360,1203
gogs/gogs,Go,3,true,136234,99,0,4628,3.9,4.5,27634,32751
spf13/cobra,Go,1,true,12824,0,0,178,12.6,11.4,1984,2694
hashicorp/terraform,Go,1,true,523685,0,1,7759,19.2,11.3,68272,81205
v2ray/v2ray-core,Go,1,true,65292,0,0,526,9.6,5.7,8941,4565
cli/cli,Go,2,true,190601,0,0,2544,17.4,3.7,20791,27996
danielmiessler/Fabric,Go,1,true,32475,1,0,414,3.3,9.5,6586,4150
charmbracelet/bubbletea,Go,1,true,9953,0,0,29,1.9,15.3,1539,437
milvus-io/milvus,Go,2,true,1067034,75,31,18339,12.6,11.1,121406,106680
photoprism/photoprism,Go,2,true,314638,25,0,4570,17.3,6.8,43666,43524
go-gorm/gorm,Go,1,true,33805,0,0,536,7.6,4.5,10400,9777
pingcap/tidb,Go,3,true,1215063,4,4,11707,7.4,11.3,191537,147558
istio/istio,Go,2,true,549344,8,796,6406,8.3,9.8,66524,85118
docker/compose,Go,2,true,35193,0,6,458,2.2,13.9,5339,4673
XTLS/Xray-core,Go,1,true,109128,1,0,1008,8.5,5.7,18696,11053
hashicorp/vault,Go,2,true,700669,31,24,9771,10.6,9.2,102441,102502
evanw/esbuild,Go,1,true,160512,259,0,3256,9.2,9.0,33738,52629
gofiber/fiber,Go,2,true,78751,0,0,2621,13.7,10.7,8405,20906
1Panel-dev/1Panel,Go,1,true,254816,50,1,1167,5.0,2.1,31445,14329
juanfont/headscale,Go,4,true,93961,0,0,1323,14.7,12.2,13624,16987
aquasecurity/trivy,Go,1,true,238163,3,42,3092,11.6,4.0,19748,26649
schollz/croc,Go,1,true,8241,0,0,98,10.5,7.7,2090,1623
harness/harness,Go,1,true,431964,111,5,4359,9.0,10.8,40034,32376
unknwon/the-way-to-go_ZH_CN,Go,1,true,11516,3,0,75,9.6,17.5,1223,437
ehang-io/nps,Go,1,true,22429,41,0,228,1.8,3.7,2264,1534
filebrowser/filebrowser,Go,1,true,22831,19,2,206,3.5,3.8,2739,1397
IceWhaleTech/CasaOS,Go,1,true,9771,0,0,81,4.0,12.7,1617,650
AdguardTeam/AdGuardHome,Go,1,true,105888,28,1,1208,5.2,9.2,6328,4791
v2fly/v2ray-core,Go,1,true,123374,0,1,1071,8.3,4.9,17879,8852
derailed/k9s,Go,1,true,58661,0,0,352,4.0,6.5,6961,2711
halfrost/LeetCode-Go,Go,1,true,63777,2,0,1060,1.1,8.9,10392,6579
glanceapp/glance,Go,1,true,13278,3,0,117,0.3,1.7,2057,982
k3s-io/k3s,Go,1,true,50355,0,94,621,10.4,6.5,8791,8961
wailsapp/wails,Go,1,true,51281,17,0,303,10.3,9.5,5676,2870
labstack/echo,Go,2,true,30481,0,1,664,10.5,9.7,3960,6637
beego/beego,Go,1,true,35989,0,2,206,3.7,17.6,8264,4492
restic/restic,Go,1,true,67053,0,0,529,1.6,8.3,11801,6217
kubernetes/minikube,Go,1,true,268598,277,188,699,18.1,5.2,14059,11678
seaweedfs/seaweedfs,Go,1,true,502404,44,5,8178,5.9,9.8,107359,91277
zeromicro/go-zero,Go,2,true,125615,0,13,1444,5.4,4.6,13031,10870
iawia002/lux,Go,1,true,11807,39,0,503,6.4,3.9,2899,3679
grafana/k6,Go,2,true,162679,390,0,3227,5.4,9.4,18569,22404
tailscale/tailscale,Go,1,true,395620,22,19,4406,3.8,14.8,72280,46448
SagerNet/sing-box,Go,1,true,86677,0,0,545,7.7,2.4,14274,7304
hashicorp/consul,Go,1,true,666748,28,5,10612,11.6,10.7,69680,98143
binwiederhier/ntfy,Go,1,true,65360,2,0,1493,11.5,7.0,6223,10438
containers/podman,Go,2,true,209281,5,0,2224,5.5,14.9,36637,31125
micro-editor/micro,Go,1,true,20031,1,0,127,0.8,9.5,5266,2467
github/github-mcp-server,Go,2,true,49783,0,0,665,22.5,7.5,5902,6887
spf13/viper,Go,1,true,5136,0,0,65,7.3,14.3,507,544
fyne-io/fyne,Go,1,true,104286,4,1,2294,3.8,9.9,11071,14140
abiosoft/colima,Go,1,true,10528,0,0,69,0.5,10.7,1990,850
tmrts/go-patterns,Go,1,true,298,0,0,0,13.5,29.0,37,0
helm/helm,Go,2,true,84470,0,86,1546,18.8,13.8,12788,13475
authelia/authelia,Go,1,true,152903,73,90,1477,13.9,3.2,13360,17077
projectdiscovery/nuclei,Go,2,true,80796,3,5,922,6.6,13.6,15280,10613
opentofu/opentofu,Go,1,true,443571,2,2,6596,17.7,12.9,58294,65583
cloudreve/cloudreve,Go,1,true,122204,1,0,578,3.5,13.0,19262,7894
go-kit/kit,Go,1,true,20686,0,0,181,11.1,13.6,2847,2174
goharbor/harbor,Go,1,true,270103,111,43,3367,6.3,10.6,28976,19794
sipeed/picoclaw,Go,1,true,135943,5,0,2761,5.4,5.9,22765,22222
yeasy/docker_practice,Go,1,true,135,0,0,16,0.0,2.9,1,80
nsqio/nsq,Go,1,true,20396,3,0,357,15.0,3.4,2844,2781
gitleaks/gitleaks,Go,1,true,17742,0,34,198,5.9,10.7,1583,1870
kataras/iris,Go,1,true,69486,102,5,664,8.2,23.9,10516,5388
rust-lang/rustlings,Rust,1,true,189,0,0,4,0.0,0.0,,15
FuelLabs/sway,Rust,1,true,4094,111,0,676,27.1,0.4,1534,4171
BurntSushi/ripgrep,Rust,1,true,59,0,0,0,0.0,13.2,4,0
openfaas/faas,Go,1,true,5351,28,0,248,3.6,6.4,732,1335
sirupsen/logrus,Go,1,true,5089,0,0,59,1.9,12.5,532,439
dapr/dapr,Go,2,true,301782,1,75,2892,14.3,12.1,23568,26541
dani-garcia/vaultwarden,Rust,1,true,18697,33,0,444,0.1,7.2,7977,2749
stretchr/testify,Go,1,true,20440,0,0,381,5.0,17.8,2702,3067
FuelLabs/fuel-core,Rust,1,true,1079,0,0,15,0.0,1.7,,68
meilisearch/meilisearch,Rust,2,true,25,0,0,2,0.0,26.5,,10
rust-unofficial/awesome-rust,Rust,1,true,,0,0,0,,,,0
tw93/Pake,Rust,2,true,7277,1,0,60,1.3,6.5,1189,514
astral-sh/ruff,Rust,2,true,74969,3666,49,7040,2.4,22.3,8611,35028
helix-editor/helix,Rust,1,true,300,0,0,1,0.0,1.0,,5
ruvnet/RuView,Rust,4,true,75712,53,3,1336,4.0,13.4,9007,7792
FuelLabs/fuels-rs,Rust,1,true,387,36,0,215,0.0,0.0,511,1294
bevyengine/bevy,Rust,1,true,273,2,0,4,14.3,0.0,2,2
typst/typst,Rust,1,true,3178,138,0,73,0.0,6.9,143,390
sharkdp/fd,Rust,1,true,,0,0,0,,,,0
starship/starship,Rust,1,true,63,6,0,0,0.0,0.0,,0
nushell/nushell,Rust,1,true,387,1,0,1,0.0,18.7,40,5
lencx/ChatGPT,Rust,1,true,562,2,0,25,0.0,1.6,20,125
lapce/lapce,Rust,1,true,497,0,0,1,0.0,2.7,,5
pola-rs/polars,Rust,1,true,165767,170,0,598,1.4,31.6,9688,5365
sxyazi/yazi,Rust,1,true,219,0,0,0,0.0,0.0,37,0
ajeetdsouza/zoxide,Rust,1,true,,0,0,0,,,,0
TabbyML/tabby,Rust,1,true,83979,163,3,1278,8.1,4.6,7362,7009
GyulyVGC/sniffnet,Rust,1,true,24,0,0,2,0.0,11.1,,10
firecracker-microvm/firecracker,Rust,1,true,16110,4,1,104,0.9,27.4,1688,765
farion1231/cc-switch,Rust,1,true,58372,20,0,479,7.1,4.8,4281,2961
fish-shell/fish-shell,Rust,1,true,10211,16,5,227,0.9,13.5,1490,1392
spacedriveapp/spacedrive,Rust,2,true,58151,66,0,843,4.0,12.6,5176,3867
DioxusLabs/dioxus,Rust,2,true,8510,20,0,100,6.8,7.1,381,461
google/comprehensive-rust,Rust,1,true,1458,0,0,81,0.0,22.7,230,435
block/goose,Rust,2,true,91100,96,0,1106,2.6,6.7,9399,7635
yewstack/yew,Rust,1,true,2867,6,0,6,0.0,1.7,56,36
linera-io/linera-protocol,Rust,1,true,19299,23,15,227,5.0,5.6,417,1284
casey/just,Rust,1,true,81,1,0,3,0.0,2.4,,15
zellij-org/zellij,Rust,1,true,1464,6,0,20,0.0,11.4,254,116
sunface/rust-course,Rust,1,true,1316,0,0,23,0.0,1.9,25,122
vercel/turborepo,Rust,2,true,66698,45,0,413,19.7,6.4,3618,2347
surrealdb/surrealdb,Rust,2,true,571,0,0,24,12.9,26.2,36,123
qarmin/czkawka,Rust,1,true,2394,1,0,37,2.6,8.5,813,522
tokio-rs/tokio,Rust,1,true,,0,0,0,,,,0
iced-rs/iced,Rust,1,true,116,0,0,1,0.0,1.7,19,20
influxdata/influxdb,Rust,3,true,433,2,0,12,0.0,4.0,21,54
qdrant/qdrant,Rust,1,true,31938,16,1,261,10.3,9.2,1683,1715
dandavison/delta,Rust,1,true,26729,2,0,6,18.0,0.0,0,27
zeroclaw-labs/zeroclaw,Rust,3,true,8802,6,0,68,3.3,6.3,701,411
lbjlaq/Antigravity-Manager,Rust,1,true,21342,27,0,280,4.3,5.2,2002,1576
ankitects/anki,Rust,2,true,54364,15,0,1025,0.5,9.6,6565,6399
cloudflare/pingora,Rust,1,true,18,0,6,8,0.0,0.0,,37
chroma-core/chroma,Rust,1,true,102626,35,30,1214,6.3,12.9,10238,7740
sharkdp/hyperfine,Rust,1,true,395,0,0,0,0.0,14.7,62,0
emilk/egui,Rust,1,true,746,4,0,6,10.0,6.6,116,56
jdx/mise,Rust,4,true,5723,2,0,39,23.3,2.4,273,191
vercel-labs/agent-browser,Rust,2,true,10863,9,0,96,3.7,2.3,879,534
rwf2/Rocket,Rust,1,true,935,2,9,17,0.0,22.1,16,52
TheAlgorithms/Rust,Rust,1,true,,0,0,0,,,,0
atuinsh/atuin,Rust,2,true,533,0,4,12,0.0,4.7,109,166
wezterm/wezterm,Rust,1,true,5199,16,0,45,0.0,1.9,310,240
jj-vcs/jj,Rust,1,true,351,0,0,2,19.7,8.8,51,25
GraphiteEditor/Graphite,Rust,1,true,7868,2,0,381,0.3,9.4,1043,1875
zama-ai/fhevm,Rust,1,true,150238,13,13,588,52.2,2.3,3086,3389
Schniz/fnm,Rust,1,true,1601,0,0,9,7.4,1.8,85,28
tree-sitter/tree-sitter,Rust,1,true,8231,28,0,61,3.1,12.0,732,403
ogham/exa,Rust,1,true,,0,0,0,,,,0
googleworkspace/cli,Rust,2,true,210,0,0,0,0.0,14.6,36,0
tokio-rs/axum,Rust,1,true,92,0,6,1,0.0,0.0,0,5
BloopAI/vibe-kanban,Rust,2,true,102394,49,13,1300,2.5,4.9,10291,7117
uutils/coreutils,Rust,1,true,1264,0,0,17,0.0,16.3,214,191
facebook/flow,Rust,1,true,126505,4042,0,9368,17.0,11.6,5163,46757
actix/actix-web,Rust,1,true,0,0,0,0,0.0,100.0,0,0
clockworklabs/SpacetimeDB,Rust,2,true,111246,230,17,2257,26.9,8.5,8827,15355
slint-ui/slint,Rust,2,true,19198,27,1,382,8.0,8.8,2364,2613
nautechsystems/nautilus_trader,Rust,1,true,269202,661,0,1435,11.4,21.1,14560,8830
vectordotdev/vector,Rust,2,true,13337,10,11,135,3.6,6.7,664,951
niri-wm/niri,Rust,1,true,106,2,0,8,0.0,20.3,2,50
rustfs/rustfs,Rust,2,true,1808,0,7,16,0.0,7.8,57,199
gleam-lang/gleam,Rust,1,true,4632,5,0,46,0.0,10.6,571,379
gitui-org/gitui,Rust,1,true,,0,0,0,,,,0
nikivdev/flow,Rust,1,true,4521,0,0,43,1.4,2.4,842,335
valeriansaliou/sonic,Rust,1,true,135,0,0,4,0.0,4.3,8,50
eza-community/eza,Rust,1,true,,0,0,0,,,,0
rust-lang/mdBook,Rust,1,true,3405,3,0,36,0.0,7.9,329,242
bayandin/awesome-awesomeness,Ruby,1,true,,0,0,0,,,,0
neondatabase/neon,Rust,1,true,53545,20,14,383,1.4,16.5,4825,2654
hashicorp/vagrant,Ruby,1,true,108859,1,0,893,9.3,9.4,8613,8047
heartcombo/devise,Ruby,1,true,12221,4,0,138,1.7,12.3,719,1437
matteocrippa/awesome-swift,Ruby,2,true,,0,0,0,,,,0
Homebrew/homebrew-cask,Ruby,2,true,157370,0,0,57,7.6,2.7,1350,290
AlexsJones/llmfit,Rust,2,true,4248,2,0,47,0.0,7.3,429,460
chatwoot/chatwoot,Ruby,2,true,333191,55,2,1652,5.1,2.9,11281,12155
postalserver/postal,Ruby,1,true,19150,24,0,196,2.7,4.3,1428,1792
spree/spree,Ruby,4,true,155253,28,0,962,2.4,4.6,6947,8477
CocoaPods/CocoaPods,Ruby,1,true,39411,40,0,523,7.9,12.1,2224,4966
Homebrew/homebrew-core,Ruby,2,true,431462,0,3,1282,21.6,3.7,6697,6932
ruby/ruby,Ruby,1,true,1209680,398,7,7961,7.6,4.2,33702,67984
lewagon/setup,Ruby,1,true,212,0,0,0,0.0,0.0,25,0
neutraltone/awesome-stock-resources,Ruby,1,true,,0,0,0,,,,0
basecamp/kamal,Ruby,1,true,15938,4,3,334,5.5,1.5,1062,3105
diaspora/diaspora,Ruby,1,true,74600,49,1,1384,1.7,4.5,3216,10001
fluent/fluentd,Ruby,1,true,86244,5,0,1042,10.8,3.6,7983,10975
mame/quine-relay,Ruby,1,true,2420,2,0,32,0.0,6.0,112,160
capistrano/capistrano,Ruby,1,true,13326,11,0,488,1.3,5.8,1148,2846
github-linguist/linguist,Ruby,2,true,39188,110,1,2480,1.5,17.5,8170,12480
gollum/gollum,Ruby,1,true,6422,4,0,80,2.1,6.1,390,503
rubocop/rubocop,Ruby,2,true,264950,2,0,1950,33.3,8.6,10267,22155
sinatra/sinatra,Ruby,1,true,17768,0,0,301,1.4,9.9,1035,2959
sidekiq/sidekiq,Ruby,1,true,17648,2,1,141,0.7,9.7,1080,1027
docusealco/docuseal,Ruby,1,true,60815,30,1,372,9.9,0.8,5731,2594
Shopify/liquid,Ruby,1,true,14563,0,0,127,1.1,9.3,903,1168
tmuxinator/tmuxinator,Ruby,1,true,4188,0,0,36,0.0,2.2,192,298
greatghoul/remote-working,Ruby,2,true,28,0,0,0,0.0,0.0,0,0
ubicloud/ubicloud,Ruby,1,true,117808,8,27,1640,3.0,4.1,5381,18378
jordansissel/fpm,Ruby,1,true,10266,2,0,154,1.4,16.4,1320,1134
teamcapybara/capybara,Ruby,1,true,26754,55,1,558,1.7,10.0,1918,4939
faker-ruby/faker,Ruby,1,true,20575,0,0,55,0.5,26.7,461,663
ruby-grape/grape,Ruby,1,true,28684,0,0,458,3.9,4.3,1003,4746
wpscanteam/wpscan,Ruby,1,true,40757,73,0,2373,3.9,17.6,4535,13472
DeathKing/Learning-SICP,Ruby,1,true,226,0,0,1,0.0,8.5,23,5
freeCodeCamp/how-to-contribute-to-open-source,Ruby,1,true,,0,0,0,,,,0
resque/resque,Ruby,1,true,7290,26,0,87,0.6,8.9,497,496
activeadmin/activeadmin,Ruby,2,true,17520,1,0,144,2.5,8.4,855,1154
imathis/octopress,Ruby,1,true,832,0,0,6,2.3,7.9,176,34
ankane/pghero,Ruby,1,true,14890,26,0,889,0.0,15.1,25663,5543
kaminari/kaminari,Ruby,1,true,2859,1,0,36,0.0,10.9,177,300
thoughtbot/guides,Ruby,1,true,277,1,0,3,0.0,3.8,3,13
Freika/dawarich,Ruby,2,true,113280,45,0,674,2.9,7.2,7308,4851
javan/whenever,Ruby,1,true,2865,0,0,25,18.7,2.4,199,249
chef/chef,Ruby,2,true,221890,1,13,2871,6.5,8.1,14591,24190
thoughtbot/factory_bot,Ruby,1,true,9337,0,0,65,1.0,4.3,179,584
heartcombo/simple_form,Ruby,1,true,8188,0,0,167,0.8,7.9,389,1744
carrierwaveuploader/carrierwave,Ruby,1,true,13232,0,0,210,5.4,9.3,543,2745
omniauth/omniauth,Ruby,1,true,2573,0,0,42,1.4,5.7,177,555
puma/puma,Ruby,1,true,20800,1,2,372,0.7,12.0,3016,3198
puppetlabs/puppet,Ruby,1,true,275519,22,17,3566,7.5,9.5,19790,29210
github/scientist,Ruby,1,true,1237,0,0,6,0.0,11.7,50,47
varvet/pundit,Ruby,1,true,1859,0,0,10,0.0,19.1,68,66
railsadminteam/rails_admin,Ruby,1,true,26361,26,0,425,1.8,4.9,1764,3288
community/community,Ruby,1,true,,0,0,0,,,,0
realm/jazzy,Ruby,1,true,6659,5,0,51,5.3,12.7,610,288
flyerhzm/bullet,Ruby,1,true,7384,0,0,133,37.6,2.0,1691,2069
basecamp/fizzy,Ruby,2,true,48142,35,0,279,1.8,3.1,1666,1816
presidentbeef/brakeman,Ruby,1,true,62739,178,0,3302,26.7,7.7,10318,22486
chyingp/nodejs-learning-guide,Ruby,1,true,11067,35,7,1585,0.9,19.4,24089,8743
github-changelog-generator/github-changelog-generator,Ruby,1,true,4239,2,0,59,7.6,10.2,261,527
BetterErrors/better_errors,Ruby,1,true,3755,9,0,47,11.1,8.5,159,406
sj26/mailcatcher,Ruby,1,true,1274,5,0,12,5.5,5.7,75,85
pry/pry,Ruby,1,true,21952,4,1,295,1.8,12.5,1506,1773
bkeepers/dotenv,Ruby,1,true,1636,0,0,10,3.2,6.6,83,80
paper-trail-gem/paper_trail,Ruby,1,true,7998,0,0,47,2.0,13.2,306,349
middleman/middleman,Ruby,1,true,13872,103,0,150,3.4,17.2,1100,679
ankane/searchkick,Ruby,1,true,9032,0,0,197,1.6,4.8,1232,2852
skwp/dotfiles,Ruby,1,true,2638,0,0,57,1.3,11.7,417,513
