full_name,primary_language,ai_maturity_level,scan_success,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,software_quality_maintainability_remediation_effort
drawdb-io/drawdb,JavaScript,1,true,38121,10,0,952,41.6,0.2,4004,6398
typicode/husky,JavaScript,1,true,78,0,0,4,0.0,2.5,13,16
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,JavaScript,1,true,21,0,0,11,0.0,4.5,1,51
fastify/fastify,JavaScript,1,true,60205,36,0,892,20.7,2.3,7428,9456
qishibo/AnotherRedisDesktopManager,JavaScript,1,true,13632,9,0,188,15.8,7.8,1052,1075
zenorocha/clipboard.js,JavaScript,1,true,949,0,0,10,18.5,11.8,44,86
TheAlgorithms/JavaScript,JavaScript,1,true,20455,19,0,114,1.1,14.8,2895,718
alvarotrigo/fullPage.js,JavaScript,1,true,15011,95,2,1933,21.8,12.3,1240,10023
gulpjs/gulp,JavaScript,1,true,610,0,0,103,11.1,2.1,8,507
gchq/CyberChef,JavaScript,1,true,94941,142,21,850,18.6,16.8,8216,8086
lovell/sharp,JavaScript,1,true,19030,4,0,97,9.5,13.4,3440,2068
songquanpeng/one-api,JavaScript,1,true,50768,16,0,672,9.3,3.4,5159,3467
airbnb/lottie-web,JavaScript,1,true,150641,70,0,6837,93.2,3.8,211523,41365
docsifyjs/docsify,JavaScript,1,true,12420,12,0,130,5.2,11.7,1077,986
pcottle/learnGitBranching,JavaScript,2,true,78383,44,0,2325,69.5,1.7,1506,12029
lutzroeder/netron,JavaScript,1,true,155157,56,0,2850,4.6,1.6,39008,33800
iptv-org/iptv,TypeScript,1,true,5832,0,0,7,32.9,0.0,490,74
clash-verge-rev/clash-verge-rev,TypeScript,1,true,40849,7,0,313,3.3,2.9,4376,2570
angular/angular,TypeScript,2,true,822636,431,5,25737,18.6,12.3,50376,297767
firecrawl/firecrawl,TypeScript,2,true,152676,38,28,2426,22.4,8.9,18201,21908
parallax/jsPDF,JavaScript,1,true,103139,848,0,6554,28.2,4.3,18292,37534
tailwindlabs/tailwindcss,TypeScript,1,true,109140,31,0,710,39.6,5.5,9644,7637
ChatGPTNextWeb/NextChat,TypeScript,1,true,42177,77,0,489,28.8,2.9,2648,2432
mermaid-js/mermaid,TypeScript,1,true,129234,375,0,2107,30.0,6.6,7847,11968
shadcn-ui/ui,TypeScript,2,true,384736,119,1,1855,65.7,1.0,7594,10407
modelcontextprotocol/servers,TypeScript,2,true,10427,1,0,94,5.9,13.7,836,708
microsoft/playwright,TypeScript,3,true,317855,703,7,11673,11.1,7.8,60688,68308
google-gemini/gemini-cli,TypeScript,1,true,459257,90,0,2932,8.1,6.6,33280,34758
immich-app/immich,TypeScript,1,true,134886,25,18,458,8.8,3.4,6513,3420
vitejs/vite,TypeScript,2,true,84374,35,0,966,7.8,7.2,10324,8803
hoppscotch/hoppscotch,TypeScript,1,true,235560,66,12,1830,15.8,6.2,16641,11696
Stirling-Tools/Stirling-PDF,TypeScript,2,true,359098,228,9,9663,7.3,6.7,54027,71799
realworld-apps/realworld,TypeScript,1,true,4618,6,0,9,11.1,15.3,315,80
nestjs/nest,TypeScript,1,true,89726,62,1,1536,13.1,6.9,3206,17303
strapi/strapi,TypeScript,1,true,215298,42,1,1704,4.5,9.8,19912,8686
daytonaio/daytona,TypeScript,1,true,452630,34,0,1912,42.0,25.7,50700,18268
coder/code-server,TypeScript,1,true,9351,6,5,107,2.5,13.4,700,819
abi/screenshot-to-code,TypeScript,2,true,18977,16,0,222,1.4,4.0,2140,1928
apache/superset,TypeScript,3,true,787263,268,29,5750,5.6,11.3,43402,38109
lobehub/lobehub,TypeScript,3,true,807420,203,9,6444,11.8,7.1,45537,48052
toeverything/AFFiNE,TypeScript,1,true,706346,213,9,4480,7.2,4.1,47325,33784
apache/echarts,TypeScript,1,true,308326,1568,0,5822,13.0,8.8,17091,28957
facebook/docusaurus,TypeScript,2,true,101519,33,0,751,8.2,7.2,3450,3953
garrytan/gstack,TypeScript,2,true,44290,24,1,414,15.7,9.1,6150,2977
Eugeny/tabby,TypeScript,1,true,25223,24,2,706,2.2,4.2,3219,2737
withastro/astro,TypeScript,2,true,172756,92,0,2004,13.0,10.6,15200,16063
